,Image_Path,Label,Class_Name,Width,Height
0,/content/drive/MyDrive/Continental_task/Dataset/train/3/image_06618.jpg,canterbury bells,3,500,529
1,/content/drive/MyDrive/Continental_task/Dataset/train/3/image_06635.jpg,canterbury bells,3,626,500
2,/content/drive/MyDrive/Continental_task/Dataset/train/3/image_06632.jpg,canterbury bells,3,500,666
3,/content/drive/MyDrive/Continental_task/Dataset/train/3/image_06622.jpg,canterbury bells,3,683,500
4,/content/drive/MyDrive/Continental_task/Dataset/train/3/image_06630.jpg,canterbury bells,3,500,624
5,/content/drive/MyDrive/Continental_task/Dataset/train/3/image_06646.jpg,canterbury bells,3,624,500
6,/content/drive/MyDrive/Continental_task/Dataset/train/3/image_06624.jpg,canterbury bells,3,684,500
7,/content/drive/MyDrive/Continental_task/Dataset/train/3/image_06638.jpg,canterbury bells,3,500,749
8,/content/drive/MyDrive/Continental_task/Dataset/train/3/image_06650.jpg,canterbury bells,3,500,667
9,/content/drive/MyDrive/Continental_task/Dataset/train/3/image_06627.jpg,canterbury bells,3,500,770
10,/content/drive/MyDrive/Continental_task/Dataset/train/3/image_06616.jpg,canterbury bells,3,500,666
11,/content/drive/MyDrive/Continental_task/Dataset/train/3/image_06645.jpg,canterbury bells,3,649,500
12,/content/drive/MyDrive/Continental_task/Dataset/train/3/image_06642.jpg,canterbury bells,3,627,500
13,/content/drive/MyDrive/Continental_task/Dataset/train/3/image_06628.jpg,canterbury bells,3,500,661
14,/content/drive/MyDrive/Continental_task/Dataset/train/3/image_06633.jpg,canterbury bells,3,500,624
15,/content/drive/MyDrive/Continental_task/Dataset/train/3/image_06639.jpg,canterbury bells,3,749,500
16,/content/drive/MyDrive/Continental_task/Dataset/train/3/image_06647.jpg,canterbury bells,3,500,747
17,/content/drive/MyDrive/Continental_task/Dataset/train/3/image_06644.jpg,canterbury bells,3,500,629
18,/content/drive/MyDrive/Continental_task/Dataset/train/3/image_06614.jpg,canterbury bells,3,592,500
19,/content/drive/MyDrive/Continental_task/Dataset/train/3/image_06615.jpg,canterbury bells,3,667,500
20,/content/drive/MyDrive/Continental_task/Dataset/train/3/image_06649.jpg,canterbury bells,3,500,657
21,/content/drive/MyDrive/Continental_task/Dataset/train/3/image_06629.jpg,canterbury bells,3,893,500
22,/content/drive/MyDrive/Continental_task/Dataset/train/3/image_06648.jpg,canterbury bells,3,641,500
23,/content/drive/MyDrive/Continental_task/Dataset/train/3/image_06625.jpg,canterbury bells,3,500,589
24,/content/drive/MyDrive/Continental_task/Dataset/train/3/image_06643.jpg,canterbury bells,3,500,624
25,/content/drive/MyDrive/Continental_task/Dataset/train/3/image_06619.jpg,canterbury bells,3,500,626
26,/content/drive/MyDrive/Continental_task/Dataset/train/3/image_06612.jpg,canterbury bells,3,500,626
27,/content/drive/MyDrive/Continental_task/Dataset/train/3/image_06651.jpg,canterbury bells,3,500,723
28,/content/drive/MyDrive/Continental_task/Dataset/train/3/image_06620.jpg,canterbury bells,3,500,667
29,/content/drive/MyDrive/Continental_task/Dataset/train/3/image_06636.jpg,canterbury bells,3,625,500
30,/content/drive/MyDrive/Continental_task/Dataset/train/3/image_06626.jpg,canterbury bells,3,500,845
31,/content/drive/MyDrive/Continental_task/Dataset/train/3/image_06613.jpg,canterbury bells,3,625,500
32,/content/drive/MyDrive/Continental_task/Dataset/train/3/image_06637.jpg,canterbury bells,3,500,627
33,/content/drive/MyDrive/Continental_task/Dataset/train/3/image_06623.jpg,canterbury bells,3,500,755
34,/content/drive/MyDrive/Continental_task/Dataset/train/3/image_06617.jpg,canterbury bells,3,637,500
35,/content/drive/MyDrive/Continental_task/Dataset/train/3/image_06640.jpg,canterbury bells,3,751,500
36,/content/drive/MyDrive/Continental_task/Dataset/train/38/image_05805.jpg,great masterwort,38,500,748
37,/content/drive/MyDrive/Continental_task/Dataset/train/38/image_05801.jpg,great masterwort,38,500,604
38,/content/drive/MyDrive/Continental_task/Dataset/train/38/image_05794.jpg,great masterwort,38,635,500
39,/content/drive/MyDrive/Continental_task/Dataset/train/38/image_05802.jpg,great masterwort,38,500,546
40,/content/drive/MyDrive/Continental_task/Dataset/train/38/image_05800.jpg,great masterwort,38,500,666
41,/content/drive/MyDrive/Continental_task/Dataset/train/38/image_05795.jpg,great masterwort,38,500,667
42,/content/drive/MyDrive/Continental_task/Dataset/train/38/image_05804.jpg,great masterwort,38,500,689
43,/content/drive/MyDrive/Continental_task/Dataset/train/38/image_05803.jpg,great masterwort,38,500,666
44,/content/drive/MyDrive/Continental_task/Dataset/train/38/image_05793.jpg,great masterwort,38,500,751
45,/content/drive/MyDrive/Continental_task/Dataset/train/38/image_05798.jpg,great masterwort,38,625,500
46,/content/drive/MyDrive/Continental_task/Dataset/train/38/image_05834.jpg,great masterwort,38,500,624
47,/content/drive/MyDrive/Continental_task/Dataset/train/38/image_05821.jpg,great masterwort,38,500,667
48,/content/drive/MyDrive/Continental_task/Dataset/train/38/image_05836.jpg,great masterwort,38,500,746
49,/content/drive/MyDrive/Continental_task/Dataset/train/38/image_05814.jpg,great masterwort,38,500,727
50,/content/drive/MyDrive/Continental_task/Dataset/train/38/image_05828.jpg,great masterwort,38,500,535
51,/content/drive/MyDrive/Continental_task/Dataset/train/38/image_05818.jpg,great masterwort,38,561,500
52,/content/drive/MyDrive/Continental_task/Dataset/train/38/image_05842.jpg,great masterwort,38,538,500
53,/content/drive/MyDrive/Continental_task/Dataset/train/38/image_05840.jpg,great masterwort,38,500,610
54,/content/drive/MyDrive/Continental_task/Dataset/train/38/image_05807.jpg,great masterwort,38,500,671
55,/content/drive/MyDrive/Continental_task/Dataset/train/38/image_05827.jpg,great masterwort,38,500,694
56,/content/drive/MyDrive/Continental_task/Dataset/train/38/image_05809.jpg,great masterwort,38,500,666
57,/content/drive/MyDrive/Continental_task/Dataset/train/38/image_05835.jpg,great masterwort,38,500,506
58,/content/drive/MyDrive/Continental_task/Dataset/train/38/image_05822.jpg,great masterwort,38,506,500
59,/content/drive/MyDrive/Continental_task/Dataset/train/38/image_05810.jpg,great masterwort,38,500,608
60,/content/drive/MyDrive/Continental_task/Dataset/train/38/image_05820.jpg,great masterwort,38,500,561
61,/content/drive/MyDrive/Continental_task/Dataset/train/38/image_05826.jpg,great masterwort,38,500,574
62,/content/drive/MyDrive/Continental_task/Dataset/train/38/image_05847.jpg,great masterwort,38,500,754
63,/content/drive/MyDrive/Continental_task/Dataset/train/38/image_05832.jpg,great masterwort,38,500,558
64,/content/drive/MyDrive/Continental_task/Dataset/train/38/image_05846.jpg,great masterwort,38,584,500
